largest,size_to_switch,keycomparisons,timetaken,numitems
10000000,18,219427889,0:01:00.815336,10000000
1000,20,9494,0:00:00.002000,1000
1000,20,9522,0:00:00.002999,1000
1000,20,135658,0:00:00.029998,10000
1000,20,135038,0:00:00.028998,10000
1000,20,1564118,0:00:00.360033,100000
1000,20,1565315,0:00:00.351009,100000
1000,20,19436898,0:00:04.803035,1000000
1000,20,19432217,0:00:04.785054,1000000
1000,20,234089352,0:00:59.915424,10000000
1000,20,234080357,0:00:59.079029,10000000
10000,20,9456,0:00:00.002002,1000
10000,20,9522,0:00:00.003000,1000
10000,20,135605,0:00:00.028996,10000
10000,20,135136,0:00:00.028991,10000
10000,20,1565585,0:00:00.364020,100000
10000,20,1564618,0:00:00.364973,100000
10000,20,19443283,0:00:04.955349,1000000
10000,20,19438476,0:00:05.011619,1000000
10000,20,234179320,0:01:03.149973,10000000
10000,20,234186850,0:01:04.152999,10000000
100000,20,9307,0:00:00.002020,1000
100000,20,9462,0:00:00.002996,1000
100000,20,135057,0:00:00.028989,10000
100000,20,134665,0:00:00.029009,10000
100000,20,1566262,0:00:00.364989,100000
100000,20,1565095,0:00:00.353995,100000
100000,20,19440880,0:00:04.835624,1000000
100000,20,19439728,0:00:04.925525,1000000
100000,20,234185080,0:01:02.785697,10000000
100000,20,234183603,0:01:03.495975,10000000
1000000,20,9501,0:00:00.003000,1000
1000000,20,9522,0:00:00.003012,1000
1000000,20,135281,0:00:00.029988,10000
1000000,20,135053,0:00:00.029987,10000
1000000,20,1564929,0:00:00.363000,100000
1000000,20,1565751,0:00:00.366095,100000
1000000,20,19443029,0:00:04.942249,1000000
1000000,20,19444898,0:00:04.978117,1000000
1000000,20,234177592,0:01:03.955626,10000000
1000000,20,234167158,0:01:06.330115,10000000
10000000,20,9546,0:00:00.002990,1000
10000000,20,9466,0:00:00.002000,1000
10000000,20,135492,0:00:00.027997,10000
10000000,20,135317,0:00:00.028999,10000
10000000,20,1563780,0:00:00.367990,100000
10000000,20,1564957,0:00:00.371021,100000
10000000,20,19437195,0:00:05.000777,1000000
10000000,20,19441940,0:00:05.084793,1000000
10000000,20,234171360,0:01:04.920084,10000000
10000000,20,234176327,0:01:04.573398,10000000
1000,22,9487,0:00:00.002006,1000
1000,22,9544,0:00:00.001998,1000
1000,22,135238,0:00:00.030996,10000
1000,22,135625,0:00:00.030980,10000
1000,22,1564144,0:00:00.372008,100000
1000,22,1564399,0:00:00.355006,100000
1000,22,19437821,0:00:04.792045,1000000
1000,22,19431124,0:00:04.744357,1000000
1000,22,234088138,0:00:58.769694,10000000
1000,22,234071628,0:00:58.632748,10000000
10000,22,9550,0:00:00.002999,1000
10000,22,9568,0:00:00.002970,1000
10000,22,135357,0:00:00.029969,10000
10000,22,135312,0:00:00.030990,10000
10000,22,1565837,0:00:00.371986,100000
10000,22,1565812,0:00:00.362976,100000
10000,22,19441031,0:00:04.920598,1000000
10000,22,19440283,0:00:04.855923,1000000
10000,22,234158579,0:01:02.250832,10000000
10000,22,234190295,0:01:02.082671,10000000
100000,22,9447,0:00:00.002001,1000
100000,22,9567,0:00:00.002993,1000
100000,22,134934,0:00:00.028991,10000
100000,22,135188,0:00:00.029999,10000
100000,22,1565361,0:00:00.357005,100000
100000,22,1566340,0:00:00.363975,100000
100000,22,19449393,0:00:04.819372,1000000
100000,22,19444111,0:00:04.884244,1000000
100000,22,234179008,0:01:02.398512,10000000
100000,22,234175170,0:01:02.698452,10000000
1000000,22,9695,0:00:00.001991,1000
1000000,22,9640,0:00:00.004003,1000
1000000,22,135437,0:00:00.029016,10000
1000000,22,136173,0:00:00.028988,10000
1000000,22,1564456,0:00:00.354990,100000
1000000,22,1565653,0:00:00.357727,100000
1000000,22,19441974,0:00:04.865434,1000000
1000000,22,19441955,0:00:04.865868,1000000
1000000,22,234186423,0:01:06.832640,10000000
1000000,22,234180277,0:01:05.490787,10000000
10000000,22,9543,0:00:00.001994,1000
10000000,22,9455,0:00:00.002998,1000
10000000,22,135078,0:00:00.030000,10000
10000000,22,136153,0:00:00.030003,10000
10000000,22,1566394,0:00:00.369025,100000
10000000,22,1564003,0:00:00.376999,100000
10000000,22,19445804,0:00:05.142684,1000000
10000000,22,19439241,0:00:05.719783,1000000
